'Time [h]';'Power [W]'
0.0;282.938425483
0.16666666666666666;282.97049770636545
0.3333333333333333;282.2965762086964
0.5;281.1905012002957
0.6666666666666666;279.92611289146606
0.8333333333333334;278.77725149251006
1.0;278.0177572137305
1.1666666666666667;277.8166309282545
1.3333333333333333;277.92351616050684
1.5;277.98321709773626
1.6666666666666667;277.64053792719193
1.8333333333333333;276.540282836123
2.0;274.32725601177833
2.1666666666666665;270.77701854099314
2.3333333333333335;266.1881591089474
2.5;260.99002330040696
2.6666666666666665;255.61195670013802
2.8333333333333335;250.48330489290638
3.0;246.03341346347833
3.1666666666666665;242.60945759180126
3.3333333333333335;240.22993083854888
3.5;238.83115635957645
3.6666666666666665;238.34945731073927
3.8333333333333335;238.72115684789247
4.0;239.88257812689133
4.166666666666667;241.7059889996834
4.333333333333333;243.80743610258565
4.5;245.73891076800706
4.666666666666667;247.05240432835683
4.833333333333333;247.2999081160442
5.0;246.03341346347833
5.166666666666667;242.90410417153916
5.333333333333333;237.9599339149899
5.5;231.34804883706425
5.666666666666667;223.21559508099642
5.833333333333333;213.70971879002028
6.0;202.97756610736963
6.166666666666667;191.2322338596003
6.333333333333333;178.95062160655527
6.5;166.67557959139924
6.666666666666667;154.949958057297
6.833333333333333;144.3166072474134
7.0;135.31837740491306
7.166666666666667;128.38001794108547
7.333333333333333;123.45387493971842
7.5;120.37419365272429
7.666666666666667;118.97521933201564
7.833333333333333;119.09119722950486
8.0;120.55637259710437
8.166666666666666;123.14443546275815
8.333333333333334;126.38685495853596
8.5;129.75454499253908
8.666666666666666;132.7184194728688
8.833333333333334;134.74939230762635
9.0;135.31837740491306
9.166666666666666;134.10283951716502
9.333333333333334;131.60644677415763
9.5;128.53941815000115
9.666666666666666;125.61197261880575
9.833333333333334;123.53432915468166
10.0;123.01670673173916
10.166666666666666;124.54756948057329
10.333333333333334;127.72836215771841
10.5;131.93877467619376
10.666666666666666;136.55849694901855
10.833333333333334;140.9672188892121
11.0;144.5446304097935
11.166666666666666;146.8212346884129
11.333333333333334;147.93078796124377
11.5;148.15785972909052
11.666666666666666;147.7870194927575
11.833333333333334;147.10283675304905
12.0;146.3898810107696
12.166666666666666;145.97266967662947
12.333333333333334;146.33551180096327
12.5;148.00266434401146
12.666666666666666;151.49838426601457
12.833333333333334;157.34692852721324
13.0;166.0725540878479
13.166666666666666;177.92308431132955
13.333333333333334;192.04060817375156
13.5;207.29078105437713
13.666666666666666;222.53925833247018
13.833333333333334;236.6516953872944
14.0;248.4937475981131
14.166666666666666;257.21091675081584
14.333333333333334;263.06809025779546
14.5;266.6100019380702
14.666666666666666;268.38138561065847
14.833333333333334;268.92697509457895
15.0;268.7915042088501
15.166666666666666;268.3715713271346
15.333333333333334;267.4712330416731
15.5;265.74641049935053
15.666666666666666;262.8530248470518
15.833333333333334;258.4469972316618
16.0;252.18424880006523
16.166666666666668;243.9024060621462
16.333333333333332;234.16591697978404
16.5;223.72093487785648
16.666666666666668;213.31361308124207
16.833333333333332;203.69010491481907
17.0;195.59656370346525
17.166666666666668;189.5848839739558
17.333333333333332;185.4299250606528
17.5;182.71228749981498
17.666666666666668;181.01257182770107
17.833333333333332;179.91137858057004
18.0;178.98930829468046
18.166666666666668;177.88409324375402
18.333333333333332;176.46199265136292
18.5;174.64639747854181
18.666666666666668;172.36069868632572
18.833333333333332;169.52828723574945
19.0;166.0725540878479
19.166666666666668;162.01361206370598
19.333333333333332;157.75846142460983
19.5;153.81082429189544
19.666666666666668;150.674422786899
19.833333333333332;148.8529790309566
20.0;148.85021514540438
20.166666666666668;151.0162901870316
20.333333333333332;155.08711095443965
20.5;160.64502118168338
20.666666666666668;167.27236460281728
20.833333333333332;174.55148495189582
21.0;182.06472596297394
21.166666666666668;189.47058238066438
21.333333333333332;196.73215299181317
21.5;203.88868759382507
21.666666666666668;210.9794359841043
21.833333333333332;218.04364796005524
22.0;225.12057331908267
22.166666666666668;232.22371567479797
22.333333333333332;239.26359390564107
22.5;246.12498070625963
22.666666666666668;252.6926487713007
22.833333333333332;258.8513707954113
23.0;264.4859194732392
23.166666666666668;269.49081557033173
23.333333333333332;273.7995721358381
23.5;277.3554502898087
23.666666666666668;280.10171115229247
23.833333333333332;281.98161584333974
