457;339;246;565;988
0;799.4293171630031;119.66017149753698;119.65862972371954;693.4770982317765;220.68434403320245
1;798.8612603162271;119.092114650761;119.09057287694357;692.9090413850005;220.11628718642646
2;798.2932034694512;118.52405780398502;118.5225160301676;692.3409845382245;219.5482303396505
3;797.7251466226752;117.95600095720906;117.95445918339162;691.7729276914486;218.98017349287454
4;797.1570897758993;117.38794411043308;117.38640233661565;691.2048708446725;218.41211664609855
5;796.5890329291233;116.81988726365711;116.81834548983969;690.6368139978965;217.84405979932257
6;796.0209760823473;116.25183041688113;116.2502886430637;690.0687571511206;217.2760029525466
7;795.4529192355714;115.68377357010516;115.68223179628774;689.5007003043446;216.70794610577065
8;794.8848623887953;115.11571672332919;115.11417494951175;688.9326434575686;216.13988925899466
9;794.3168055420194;114.54765987655321;114.54611810273579;688.3645866107927;215.57183241221867
10;793.7487486952434;113.97960302977724;113.9780612559598;687.7965297640167;215.0037755654427
11;793.3218582208674;113.5527125554012;113.55117078158378;687.3696392896406;214.57688509106669
12;792.8949677464914;113.12582208102518;113.12428030720774;686.9427488152646;214.14999461669066
13;792.4680772721154;112.69893160664913;112.6973898328317;686.5158583408886;213.72310414231458
14;792.0411867977393;112.2720411322731;112.27049935845567;686.0889678665126;213.29621366793856
15;791.6142963233633;111.84515065789708;111.84360888407964;685.6620773921366;212.86932319356254
16;791.1874058489872;111.41826018352103;111.4167184097036;685.2351869177605;212.4424327191865
17;790.7605153746111;110.991369709145;110.98982793532757;684.8082964433845;212.0155422448105
18;790.3336249002351;110.56447923476897;110.56293746095153;684.3814059690084;211.58865177043444
19;789.9067344258591;110.13758876039293;110.13604698657551;683.9545154946323;211.1617612960584
20;789.4798439514831;109.7106982860169;109.70915651219947;683.5276250202563;210.73487082168236
21;161.94146292659696;109.56701464826767;109.56547287445025;683.3839413825071;210.59118718393313
22;161.79777928884778;109.42333101051848;109.42178923670104;683.240257744758;210.44750354618395
23;161.65409565109854;109.27964737276926;109.27810559895184;683.0965741070087;210.30381990843472
24;161.51041201334937;109.13596373502006;109.13442196120263;682.9528904692595;210.16013627068554
25;161.36672837560013;108.99228009727085;108.99073832345341;682.8092068315103;210.0164526329363
26;161.22304473785093;108.84859645952163;108.8470546857042;682.665523193761;209.8727689951871
27;161.07936110010172;108.70491282177244;108.703371047955;682.5218395560119;209.7290853574379
28;160.9356774623525;108.5612291840232;108.55968741020578;682.3781559182627;209.58540171968866
29;160.7919938246033;108.417545546274;108.41600377245658;682.2344722805135;209.44171808193948
30;160.64831018685408;108.2738619085248;108.27232013470737;682.0907886427642;209.29803444419025
31;160.76217898187994;108.38773070355066;108.38618892973322;682.2046574377902;209.41190323921614
32;160.8760477769058;108.50159949857652;108.50005772475909;682.318526232816;108.50159949857652
33;160.98991657193167;108.61546829360239;108.61392651978495;682.4323950278418;50.27320526831929
34;161.10378536695754;108.72933708862823;108.7277953148108;682.5462638228677;50.38707406334514
35;161.21765416198338;108.8432058836541;108.84166410983667;682.6601326178935;50.500942858371005
36;161.33152295700924;108.95707467867996;108.95553290486254;682.7740014129195;50.61481165339686
37;161.4453917520351;109.07094347370582;109.06940169988839;682.8878702079453;50.72868044842272
38;161.55926054706097;109.18481226873168;109.18327049491424;683.0017390029711;50.84254924344858
39;161.67312934208684;109.29868106375754;109.2971392899401;683.115607797997;50.956418038474446
40;161.78699813711268;109.4125498587834;109.41100808496597;683.2294765930228;51.070286833500305
41;161.7742061026126;109.39975782428331;109.39821605046589;683.2166845585227;51.057494799000224
42;51.04470276450016;109.38696578978326;109.38542401596582;683.2038925240228;51.04470276450016
43;51.03191073000008;109.37417375528318;109.37263198146574;683.1911004895227;51.03191073000008
44;789.1305273862492;109.3613817207831;109.35983994696568;683.1783084550226;51.01911869550001
45;789.1177353517492;109.34858968628302;109.3470479124656;683.1655164205225;51.00632666099993
46;789.1049433172491;109.33579765178294;109.33425587796552;683.1527243860224;50.99353462649985
47;789.092151282749;109.32300561728289;109.32146384346545;683.1399323515224;50.980742591999785
48;789.0793592482489;109.31021358278281;109.30867180896537;683.1271403170223;50.967950557499705
49;789.066567213749;109.29742154828273;109.2958797744653;683.1143482825222;50.95515852299963
50;789.0537751792489;109.28462951378265;109.28308773996523;683.1015562480221;50.94236648849956
51;50.67861604709947;109.02087907238257;109.01933729856513;682.837805806622;50.67861604709947
52;50.414865605699376;108.75712863098246;108.75558685716504;682.574055365222;50.414865605699376
53;788.2625238550486;108.49337818958239;108.49183641576495;682.3103049238218;50.151115164299284
54;787.9987734136485;108.2296277481823;108.22808597436486;682.0465544824217;49.8873647228992
55;787.7350229722483;107.9658773067822;107.96433553296477;681.7828040410217;49.6236142814991
56;787.4712725308483;107.7021268653821;107.70058509156468;681.5190535996215;49.35986384009901
57;787.2075220894482;107.43837642398202;107.4368346501646;681.2553031582215;49.096113398698925
58;786.9437716480481;107.17462598258193;107.1730842087645;680.9915527168214;48.832362957298834
59;786.680021206648;106.91087554118184;106.90933376736442;680.7278022754213;48.56861251589875
60;786.4162707652479;106.64712509978176;106.64558332596432;680.4640518340212;48.30486207449866
61;786.2944804963482;106.52533483088203;106.52379305706461;680.3422615651215;48.183071805598935
62;786.1726902274485;106.40354456198233;106.40200278816489;680.2204712962218;48.06128153669923
63;786.0508999585488;106.2817542930826;106.28021251926518;680.0986810273221;47.93949126779951
64;785.9291096896491;106.1599640241829;106.15842225036546;679.9768907584223;47.817700998899795
65;785.8073194207493;106.03817375528317;106.03663198146575;679.8551004895227;47.69591073000008
66;269.00754306832516;105.91638348638347;105.91484171256604;679.7333102206229;47.57412046110037
67;268.8857527994254;105.79459321748377;105.79305144366633;679.6115199517233;47.45233019220066
68;268.7639625305257;105.67280294858404;105.67126117476661;679.4897296828235;47.33053992330094
