457;339;246;565;988
0;846.1937942810666;306.13486949855303;108.08238559031736;166.42160321494666;108.08238559031736
1;846.1222232225966;306.06329844008303;108.01081453184739;166.3500321564767;108.01081453184739
2;107.93924347337742;107.93924347337742;107.93924347337742;166.27846109800672;107.93924347337742
3;107.86767241490745;107.86767241490745;107.86767241490745;166.20689003953675;107.86767241490745
4;845.9075100471867;206.8223433105553;107.79610135643748;166.13531898106677;107.79610135643748
5;845.8359389887167;206.75077225208537;107.72453029796752;166.0637479225968;107.72453029796752
6;845.7643679302469;206.67920119361537;107.65295923949755;165.99217686412683;107.65295923949755
7;845.6927968717769;206.60763013514543;107.58138818102759;165.9206058056569;107.58138818102759
8;845.6212258133069;264.87627495113793;107.50981712255762;165.84903474718692;107.50981712255762
9;845.5496547548369;264.80470389266793;107.43824606408765;165.77746368871695;107.43824606408765
10;845.478083696367;165.70689088008012;107.36667500561768;165.70589263024698;107.36667500561768
11;845.1427206033969;165.3715277871101;107.03131191264764;165.37052953727692;107.03131191264764
12;844.8073575104269;297.0711539662972;106.6959488196776;165.0351664443069;106.6959488196776
13;844.4719944174568;296.7357908733271;106.36058572670755;164.69980335133684;106.36058572670755
14;844.1366313244868;296.40042778035706;106.02522263373751;164.3644402583668;106.02522263373751
15;843.8012682315167;296.06506468738706;105.68985954076747;164.02907716539676;105.68985954076747
16;843.4659051385468;295.729701594417;105.35449644779743;163.69371407242673;105.35449644779743
17;326.45255596205214;163.35934922928982;105.01913335482737;163.35835097945667;105.01913335482737
18;326.11719286908215;163.0239861363198;104.68377026185735;163.02298788648665;104.68377026185735
19;325.7818297761121;294.7236123155069;104.34840716888729;162.6876247935166;104.34840716888729
20;325.44646668314203;294.38824922253684;104.01304407591725;162.35226170054653;104.01304407591725
21;104.10793952873074;294.48314467535033;104.10793952873074;162.44715715336002;104.10793952873074
22;104.20283498154421;294.5780401281638;104.20283498154421;162.5420526061735;104.20283498154421
23;104.29773043435772;294.6729355809773;104.29773043435772;162.636948058987;104.29773043435772
24;104.3926258871712;294.7678310337908;104.3926258871712;162.7318435118005;104.3926258871712
25;104.48752133998468;261.85397916856493;104.48752133998468;162.82673896461398;104.48752133998468
26;104.58241679279817;261.9488746213784;104.58241679279817;162.92163441742747;104.58241679279817
27;104.67731224561166;262.0437700741919;104.67731224561166;163.01652987024096;104.67731224561166
28;104.77220769842515;163.1124235728876;104.77220769842515;163.11142532305445;104.77220769842515
29;104.86710315123864;163.20731902570108;104.86710315123864;163.20632077586794;104.86710315123864
30;104.96199860405211;427.3721930228288;104.96199860405211;163.3012162286814;104.96199860405211
31;104.57658459783445;426.98677901661114;104.57658459783445;162.91580222246375;104.57658459783445
32;104.19117059161677;426.60136501039347;104.19117059161677;162.53038821624605;104.19117059161677
33;103.80575658539911;162.14597245986155;103.80575658539911;162.1449742100284;103.80575658539911
34;103.42034257918142;161.76055845364385;103.42034257918142;161.7595602038107;103.42034257918142
35;103.03492857296375;161.37514444742618;103.03492857296375;161.37414619759303;103.03492857296375
36;102.64951456674608;160.9897304412085;102.64951456674608;160.98873219137536;102.64951456674608
37;102.2641005605284;160.60431643499084;102.2641005605284;160.6033181851577;102.2641005605284
38;101.87868655431073;160.21890242877316;101.87868655431073;160.21790417894002;101.87868655431073
39;101.49327254809305;159.8334884225555;101.49327254809305;159.83249017272234;101.49327254809305
40;101.10785854187539;159.44807441633782;101.10785854187539;159.44707616650467;101.10785854187539
41;100.1738684987503;158.51408437321274;100.1738684987503;158.5130861233796;100.1738684987503
42;99.2398784556252;157.58009433008766;99.2398784556252;157.5790960802545;99.2398784556252
43;98.3058884125001;156.64610428696255;98.3058884125001;156.64510603712938;98.3058884125001
44;97.371898369375;155.71211424383745;97.371898369375;155.7111159940043;168.0781783907235
45;96.43790832624993;154.77812420071237;96.43790832624993;154.77712595087922;167.14418834759843
46;95.50391828312482;153.84413415758726;95.50391828312482;153.84313590775412;166.21019830447332
47;94.56992823999974;152.91014411446218;94.56992823999974;152.90914586462904;165.27620826134824
48;93.63593819687463;151.97615407133708;93.63593819687463;151.97515582150393;164.34221821822314
49;92.70194815374954;151.04216402821197;92.70194815374954;151.04116577837883;163.40822817509803
50;91.76795811062445;150.1081739850869;91.76795811062445;91.76795811062445;162.47423813197295
51;91.44577005887433;149.78598593333678;91.44577005887433;91.44577005887433;162.15205008022284
52;91.12358200712423;149.4637978815867;91.12358200712423;91.12358200712423;161.82986202847275
53;90.8013939553741;149.14160982983654;90.8013939553741;90.8013939553741;161.5076739767226
54;90.47920590362399;148.81942177808645;90.47920590362399;90.47920590362399;161.1854859249725
55;90.15701785187387;148.49723372633633;90.15701785187387;90.15701785187387;160.8632978732224
56;89.83482980012377;148.17504567458622;89.83482980012377;89.83482980012377;160.54110982147228
57;89.51264174837365;147.8528576228361;89.51264174837365;89.51264174837365;160.21892176972216
58;89.19045369662354;147.53066957108598;159.89861051045548;89.19045369662354;159.89673371797204
59;88.86826564487342;147.20848151933586;159.57642245870537;88.86826564487342;159.57454566622192
60;88.54607759312331;146.88629346758574;159.25423440695528;88.54607759312331;159.2523576144718
61;87.99183975699867;146.33205563146112;158.69999657083062;87.99183975699867;158.69811977834718
62;87.43760192087403;145.7778177953365;158.14575873470596;87.43760192087403;158.14388194222255
63;86.88336408474939;145.22357995921183;157.59152089858134;86.88336408474939;157.5896441060979
64;86.32912624862475;144.66934212308718;157.0372830624567;86.32912624862475;157.03540626997324
65;85.77488841250009;144.11510428696255;156.48304522633202;85.77488841250009;156.4811684338486
66;85.22065057637545;143.5608664508379;155.9288073902074;85.22065057637545;155.92693059772395
67;84.66641274025082;143.00662861471326;155.37456955408277;84.66641274025082;155.37269276159932
68;84.11217490412616;142.4523907785886;154.8203317179581;84.11217490412616;154.81845492547467
69;83.55793706800154;141.89815294246398;154.26609388183348;83.55793706800154;154.26421708935004
70;83.0036992318769;141.34391510633935;153.71185604570883;83.0036992318769;153.7099792532254
71;82.52665747959509;140.86687335405753;153.23481429342704;82.52665747959509;153.2329375009436
72;82.0496157273133;140.38983160177574;152.75777254114524;82.0496157273133;152.7558957486618
73;81.57257397503149;139.91278984949395;152.28073078886342;81.57257397503149;152.27885399638
74;81.09553222274968;139.43574809721213;151.80368903658163;81.09553222274968;151.8018122440982
75;80.61849047046789;138.95870634493033;151.32664728429984;80.61849047046789;151.3247704918164
76;80.1414487181861;138.48166459264854;150.84960553201805;80.1414487181861;150.8477287395346
77;79.66440696590429;138.00462284036672;150.37256377973625;79.66440696590429;150.37068698725278
78;79.18736521362248;137.52758108808493;149.89552202745443;79.18736521362248;149.893645234971
79;78.71032346134069;137.05053933580314;149.41848027517264;78.71032346134069;149.4166034826892
80;78.23328170905889;136.57349758352132;148.94143852289085;78.23328170905889;148.93956173040738
81;78.05334032143523;136.39355619589767;148.76149713526718;78.05334032143523;148.75962034278373
82;77.87339893381156;136.213614808274;148.5815557476435;77.87339893381156;148.57967895516006
83;77.69345754618789;136.03367342065033;148.40161436001983;77.69345754618789;148.3997375675364
84;77.51351615856422;135.85373203302666;148.22167297239616;77.51351615856422;148.21979617991272
85;77.33357477094056;135.67379064540302;148.0417315847725;77.33357477094056;148.03985479228908
86;77.1536333833169;135.49384925777935;147.86179019714885;77.1536333833169;147.8599134046654
87;76.97369199569323;135.31390787015567;147.68184880952518;76.97369199569323;147.67997201704173
88;76.79375060806957;135.133966482532;147.50190742190154;76.79375060806957;147.50003062941806
89;76.6138092204459;134.95402509490833;147.32196603427786;76.6138092204459;147.3200892417944
90;76.43386783282224;134.7740837072847;147.1420246466542;76.43386783282224;147.14014785417075
91;75.87535153716425;134.2155674116267;146.5835083509962;75.87535153716425;146.58163155851275
92;75.31683524150627;133.65705111596873;146.0249920553382;75.31683524150627;146.0231152628548
93;74.75831894584829;133.09853482031073;145.46647575968024;74.75831894584829;145.4645989671968
94;74.1998026501903;132.54001852465274;144.90795946402227;74.1998026501903;144.9060826715388
95;73.64128635453231;131.98150222899477;144.34944316836425;73.64128635453231;144.34756637588083
96;73.08277005887433;131.42298593333678;143.79092687270628;73.08277005887433;143.78905008022284
97;72.52425376321635;130.86446963767878;143.2324105770483;72.52425376321635;143.23053378456484
98;71.96573746755837;130.3059533420208;142.67389428139032;71.96573746755837;142.67201748890687
99;71.40722117190037;129.74743704636282;142.11537798573232;71.40722117190037;142.11350119324888
100;70.8487048762424;129.18892075070482;141.55686169007436;70.8487048762424;141.55498489759088
101;70.7147983376809;129.05501421214336;141.42295515151284;70.7147983376809;141.42107835902942
102;70.5808917991194;128.92110767358184;141.28904861295135;70.5808917991194;141.2871718204679
103;70.44698526055791;128.78720113502035;141.15514207438986;70.44698526055791;141.1532652819064
104;70.31307872199642;128.65329459645886;141.02123553582837;70.31307872199642;141.01935874334492
105;70.17917218343493;128.51938805789737;140.88732899726688;70.17917218343493;140.88545220478343
106;70.04526564487344;128.38548151933588;140.7534224587054;70.04526564487344;140.75154566622194
107;69.91135910631193;128.25157498077436;140.6195159201439;69.91135910631193;140.61763912766042
108;69.77745256775044;128.1176684422129;140.48560938158238;69.77745256775044;140.48373258909896
109;69.64354602918894;127.98376190365138;140.3517028430209;69.64354602918894;140.34982605053744
110;69.50963949062745;127.8498553650899;140.2177963044594;69.50963949062745;140.21591951197595
111;69.29120557065997;127.63142144512241;139.99936238449192;69.29120557065997;139.99748559200847
112;69.07277165069249;127.41298752515493;139.78092846452444;69.07277165069249;139.779051672041
113;68.85433773072499;127.19455360518744;139.56249454455696;68.85433773072499;139.56061775207348
114;68.63590381075751;126.97611968521996;139.34406062458947;68.63590381075751;139.342183832106
115;68.41746989079003;126.75768576525248;139.125626704622;68.41746989079003;139.12374991213852
116;68.19903597082254;126.53925184528498;138.90719278465448;68.19903597082254;138.90531599217104
117;67.98060205085505;126.3208179253175;138.688758864687;67.98060205085505;138.68688207220356
118;67.76216813088757;126.10238400535002;138.47032494471952;67.76216813088757;138.46844815223608
119;67.54373421092009;125.88395008538254;138.25189102475204;67.54373421092009;138.2500142322686
120;67.3253002909526;125.66551616541504;138.03345710478453;67.3253002909526;138.03158031230112
121;67.00897317591783;125.34918905038028;137.71712998974976;67.00897317591783;137.71525319726635
