'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;21626.868904579766;216.26868904579766;333.22238782479826;159.7588181397435;101.41809688827784
60;15181.172657977479;151.81172657977478;166.83378683989216;99.67689288504022;76.17098682462904
120;10850.103662613878;108.50103662613877;134.71588083558498;64.2988686128302;59.4370565484226
180;7353.330435593211;73.53330435593212;94.34750415193628;46.70258179657267;46.70258179657267
240;6814.635549332269;68.14635549332269;94.64441882992837;36.30420295546595;36.30420295546595
300;5847.066191768975;58.470661917689746;93.75751249166123;29.654464577903525;29.654464577903525
360;7518.78483163748;75.1878483163748;93.64855089841828;35.307320031987096;35.307320031987096
420;8978.435446463045;89.78435446463045;105.1150388054814;46.77329403259025;46.77329403259025
480;12207.14511984366;122.0714511984366;136.63574949448943;72.53073938268723;52.49278186871488
540;18696.097205451013;186.96097205451014;392.97489342117376;100.57018172813059;60.44232784685207
600;19325.080179412776;193.25080179412777;394.202325974652;116.92035163776518;58.57912077133398
660;18749.848022019647;187.49848022019648;315.5574400093373;137.74136935327397;67.04055941393239
720;20364.116344498332;203.64116344498333;327.551082403598;172.60808807133776;60.700817259957375
780;24448.24848517323;244.4824848517323;458.7490845855413;169.51310285210704;79.36210096062017
840;21271.704849874655;212.71704849874655;387.1471340820882;160.11542036501237;63.42352584916183
900;21518.064628671236;215.18064628671237;332.4260259222928;147.1369783159018;74.63385658528189
960;21434.116256488487;214.34116256488488;417.1084880147143;124.03568118682628;57.27917627797404
1020;17813.171500815544;178.13171500815545;303.2252951023203;116.51416558801822;66.23081811964742
1080;24754.780292789095;247.54780292789096;444.11444881400706;154.88435650992687;96.54363525846121
1140;27013.496318824178;270.1349631882418;405.2931451049775;192.64779694485787;98.3117950472121
1200;30135.862210422336;301.35862210422334;506.21203386427413;203.03684966239175;133.51075315109452
1260;31402.937966019526;314.0293796601953;488.4164887581007;241.54925942724566;151.3487229297729
1320;29098.56268757077;290.98562687570774;491.9668246147153;211.45608720531843;137.1810579021846
1380;25955.0740234346;259.550740234346;430.58760771377746;178.16053625663383;113.34814178695238
