'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761
'fridge';'frg';47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959
'freezer';'frz';0.0;49280.82191780823;0.0;0.0;0.0;0.0;49280.82191780823;49280.82191780823;0.0;0.0
'electric_oven';'elo';28315.53318752159;29671.61233922409;28898.1434955111;30836.841367752204;28837.87305216985;29681.6579510514;28777.60428843439;28707.28767123288;28576.7025578201;30445.08374048373
'microwave_oven';'mwo';8737.718029439293;0.0;8311.298794932538;9262.656343061348;8213.008996583181;7999.752806674222;7786.589762076424;8737.718029439295;0.0;8836.237108554591
'electric_boiler';'bo';0.0;0.0;285892.86169083393;0.0;0.0;0.0;286509.2976622965;0.0;0.0;0.0
'iron';'ir';32859.455203904894;35371.5716600383;38228.77114048126;37588.388371194225;34140.30718140307;38228.77114048126;34731.425541316836;31924.09368095449;33795.24484333176;32219.17808219178
'vacuum_cleaner';'vc';4499.021526418786;4724.1626440530545;4611.573404426294;4499.021526418786;4499.021526418786;5053.215046749293;5053.215046749293;5165.766924756799;4724.1626440530545;4888.624181060155
'washing_machine';'wm';46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.31506849316
'dish_washer';'dw';66575.34246575343;65689.60877532452;0.0;0.0;0.0;66575.34246575343;0.0;66575.34246575343;0.0;66575.34246575343
'tumble_drier';'td';0.0;0.0;0.0;0.0;46849.315068493146;0.0;0.0;0.0;0.0;0.0
'pc';'pc';32047.927802351085;32562.26157375003;0.0;32124.274187706607;32586.370970158325;0.0;32510.02453389746;0.0;0.0;0.0
'tv';'tv';29352.029455821474;29648.24300178679;29422.741699991246;29246.144293043573;29490.663772659937;28969.022249407288;29001.62483151848;29403.7235107387;29368.40403061871;29091.02450184351
'laptop';'lap';14847.547503314185;0.0;0.0;0.0;0.0;0.0;14650.019501141918;0.0;14455.380469935535;14591.582169305464
'hifi_stereo';'hs';13680.937067837982;0.0;13637.40720899977;13851.70812480203;0.0;13593.877380525335;0.0;13637.40720899977;0.0;13530.256861985776
'dvd_reader';'vr';17075.894051148447;17144.27486877873;0.0;17376.54094071676;0.0;17199.60126289349;17076.08667623551;17419.15858627626;17404.242401244643;17295.5674489628
