'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;176315.8295281583;0.0;0.0;176315.8295281583;176315.8295281583;0.0;0.0;0.0
'lighting';'lux';88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333
'fridge';'frg';72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137
'freezer';'frz';0.0;75563.92694063927;0.0;0.0;0.0;0.0;75563.92694063927;75563.92694063927;0.0;0.0
'electric_oven';'elo';24192.205711417384;25116.322114678285;25719.010125585475;24131.93612485334;24855.156891075476;25387.530675795104;24985.739301124504;24794.88966436011;24855.156891075472;25186.634233772886
'microwave_oven';'mwo';8500.731280255435;0.0;9468.493150684933;7959.6250901225685;9468.493150684933;7959.6250901225685;7959.6250901225685;7959.6250901225685;0.0;7959.6250901225685
'electric_boiler';'bo';0.0;0.0;160177.36478676775;0.0;0.0;0.0;158547.06142288994;0.0;0.0;0.0
'iron';'ir';35200.75578649032;33231.302615193024;37811.87214611872;38452.14926783184;34215.819708351744;35841.138555777354;32590.83340698189;34560.478664777205;39733.00124533001;34215.819708351744
'vacuum_cleaner';'vc';4711.551660568933;4824.1409001956945;4997.260273972603;4884.708395965096;4997.260273972603;4824.1409001956945;5283.063728409767;4824.1409001956945;4884.708395965096;4598.999782561426
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041
'dish_washer';'dw';68054.79452054796;68054.79452054796;0.0;0.0;0.0;67917.78259030974;0.0;68054.79452054796;0.0;68054.79452054796
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'pc';'pc';33524.63978390893;33629.11384998918;0.0;32913.49370319869;33231.30870053215;0.0;33392.0380560854;0.0;0.0;0.0
'tv';'tv';29807.186349435233;29877.82530837346;29720.246113996836;30217.435697941946;29662.927717229733;29790.885059496177;29627.607927943332;29842.317471257775;30127.778552835676;29896.769286733106
'laptop';'lap';15038.942942819504;0.0;0.0;0.0;0.0;0.0;15440.395130815563;0.0;15238.548981564367;14975.538719138243
'hifi_stereo';'hs';14251.867239888277;0.0;13876.840453907429;13655.842786113786;0.0;13896.930874058664;0.0;14445.483033396009;0.0;13742.281462693496
'dvd_reader';'vr';17537.428474831067;17622.66370482765;0.0;17567.26079099721;0.0;17580.046085508016;17587.405400592714;17371.219733667294;17482.025551419938;17524.56578726502
