'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333
'fridge';'frg';59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064
'freezer';'frz';0.0;62285.48325722983;0.0;0.0;0.0;0.0;62285.48325722983;62285.48325722983;0.0;0.0
'electric_oven';'elo';27263.365154523442;28177.456039400575;27067.488143295173;27785.705384636225;26936.90458551654;28699.798373922735;26218.695407736504;27524.532613654294;27720.410056491055;26349.27963533927
'microwave_oven';'mwo';8832.434272100742;0.0;7873.107426099496;8299.52666060625;8086.270470697293;9365.574746873139;8086.270470697293;8832.434272100742;0.0;8086.270470697292
'electric_boiler';'bo';0.0;0.0;226228.11029695763;0.0;0.0;0.0;223022.65098172138;0.0;0.0;0.0
'iron';'ir';35778.81867727206;30976.803652968043;35458.52164505463;31617.080774681162;35778.81867727206;31937.022831050228;35458.52164505463;31937.022831050228;35138.6725585506;37379.99169779991
'vacuum_cleaner';'vc';4830.3903495088725;5224.415326583283;4549.010654490106;4942.942227516378;5224.415326583283;4661.562532497614;4942.942227516378;4830.3903495088725;4549.010654490106;5224.415326583283
'washing_machine';'wm';47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47297.39047514258;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863
'dish_washer';'dw';67315.0684931507;67315.0684931507;0.0;0.0;0.0;67315.0684931507;0.0;67315.0684931507;0.0;67315.0684931507
'tumble_drier';'td';0.0;0.0;0.0;0.0;47369.86301369863;0.0;0.0;0.0;0.0;0.0
'pc';'pc';32739.928935227377;33001.25920555576;0.0;33027.377739106945;32922.90365706738;0.0;32713.95552506126;0.0;0.0;0.0
'tv';'tv';29765.75103115241;29712.77181352749;29641.94812251551;29536.17442273197;29394.822298472456;29871.70948292364;29765.75103115241;29324.071260226017;29783.41077314067;29606.554751622964
'laptop';'lap';15134.522402356932;0.0;0.0;0.0;0.0;0.0;14890.40835048537;0.0;15134.632218079067;14905.672320854552
'hifi_stereo';'hs';13418.930651992843;0.0;13440.69590015828;13505.99026351922;0.0;13897.758602861964;0.0;13593.049759036296;0.0;14006.583323378103
'dvd_reader';'vr';17334.459017812966;17140.54884908926;0.0;17708.428732049528;0.0;17320.529598863577;17389.66740070934;17472.773928166665;17223.653216140385;17500.667760521996
