'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333
'fridge';'frg';59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064
'freezer';'frz';0.0;0.0;0.0;62285.48325722983;0.0;0.0;0.0;0.0;62285.48325722983;0.0
'electric_oven';'elo';29156.84291518355;28438.624804678926;28438.62480467893;27328.656272250148;27524.536383517872;27589.82564254865;26806.322162098622;26739.902499283082;27459.240809925737;28112.162723121626
'microwave_oven';'mwo';9365.574746873139;7873.107426099496;0.0;7873.107426099496;8299.526660606252;8299.526660606252;0.0;0.0;9152.318556964181;0.0
'electric_boiler';'bo';0.0;227670.5671134189;219977.46525745784;0.0;223503.46983335656;0.0;0.0;0.0;219817.1923389354;0.0
'iron';'ir';34177.86175405448;33857.828840771836;31617.080774681162;33217.4460714848;33857.828840771836;32577.168949771687;34818.1388757676;33857.828840771836;32577.168949771687;36739.84557907845
'vacuum_cleaner';'vc';4774.1517721243745;4830.3903495088725;5055.531467143141;4774.1517721243745;5055.531467143141;4661.562532497614;4830.3903495088725;4942.942227516378;4774.1517721243745;4830.3903495088725
'washing_machine';'wm';47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863
'dish_washer';'dw';0.0;0.0;0.0;67315.0684931507;67180.13250124943;0.0;0.0;0.0;67315.0684931507;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0;0.0;47369.86301369863;0.0;0.0;0.0
'pc';'pc';32557.098524051966;0.0;0.0;0.0;32609.4814751719;33053.496302446074;32687.47016614866;0.0;0.0;33079.614769850814
'tv';'tv';29589.15363380684;29871.709479828314;29394.710213890896;29235.958855636018;29536.17441300873;29694.92811239774;29695.038178854353;29377.161616486323;29359.389174039927;29765.677753586584
'laptop';'lap';15012.52025335101;14981.992272637735;0.0;0.0;0.0;0.0;0.0;14951.353686161157;0.0;15058.312238478582
'hifi_stereo';'hs';13484.225266362253;0.0;13571.284891906305;0.0;0.0;13310.106324639175;0.0;13745.159562256067;13593.049759036294;13070.692791769457
'dvd_reader';'vr';0.0;17542.219971279334;17528.36925129716;17625.324364998407;17805.38386127405;17237.42611475798;17389.66740070934;17431.414145950002;0.0;17486.81704479058
