'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;705263.3181126332;705263.3181126332;0.0;0.0;0.0;0.0;0.0;0.0;705263.3181126332
'lighting';'lux';88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333
'fridge';'frg';72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137;72541.3698630137
'freezer';'frz';0.0;0.0;0.0;75563.92694063927;0.0;0.0;0.0;0.0;75563.92694063927;0.0
'electric_oven';'elo';24262.517178702838;24855.156891075472;24393.098710779257;24925.47071820961;24724.574907588612;24262.517178702838;24523.680694266117;24985.739301124504;25089.675045440443;25186.634233772886
'microwave_oven';'mwo';8713.89432485323;9042.073916178177;0.0;8500.731280255433;7959.6250901225685;8172.788134720364;0.0;0.0;8500.731280255435;0.0
'electric_boiler';'bo';0.0;159684.2203921038;159856.8209892784;0.0;157563.70046527364;0.0;0.0;0.0;159363.67653557225;0.0
'iron';'ir';33920.332546055746;35545.919575784355;31310.17351598174;32935.159817351596;35200.75578649032;36481.60776398849;35841.138555777354;38452.14926783184;35495.01369863014;33231.30261519303
'vacuum_cleaner';'vc';4997.260273972603;5395.652968036529;4884.708395965096;5395.652968036529;4884.708395965097;4997.260273972603;5170.511850402261;5283.063728409767;4598.999782561426;5109.849513599364
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47854.17468962608;47890.4109589041;47890.4109589041;47890.4109589041
'dish_washer';'dw';0.0;0.0;0.0;68054.79452054796;68054.79452054796;0.0;0.0;0.0;67917.78259030974;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'pc';'pc';32809.394233381194;0.0;0.0;0.0;32861.63125945449;33154.9622921404;33126.834634451894;0.0;0.0;32833.35855089508
'tv';'tv';30076.083573682434;30002.54108186753;29714.621599441823;29896.769286733106;30271.77336359588;29698.51104137799;29896.769286733106;29858.807137261785;29448.557829174446;30076.157774923162
'laptop';'lap';15038.9429428195;15268.80020702074;0.0;0.0;0.0;0.0;0.0;15022.504808198133;0.0;14930.920883421857
'hifi_stereo';'hs';14027.520449577769;0.0;13718.835317385683;0.0;0.0;13896.930874058664;0.0;14204.98838079239;14050.959574968558;14007.429746494123
'dvd_reader';'vr';0.0;17805.91952292194;17567.260790997214;17931.6415455517;17763.30188296664;17720.684251385283;17552.344624980135;17469.04272930666;0.0;17678.066628238776
