'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761
'fridge';'frg';47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959
'freezer';'frz';0.0;0.0;0.0;49280.82191780823;0.0;0.0;0.0;0.0;49280.82191780823;0.0
'electric_oven';'elo';29993.05507604628;29420.485505295313;28837.873052169853;28777.60428843439;29159.313989860857;30324.541681351606;28908.190400268402;29861.416719881887;29551.071617129324;28837.873052169853
'microwave_oven';'mwo';8213.008996583181;9049.400153152388;0.0;8737.718029439293;8836.237108554591;7786.589762076424;0.0;0.0;7786.589762076424;0.0
'electric_boiler';'bo';0.0;286681.89977676;288874.90054925944;0.0;291416.12877391034;0.0;0.0;0.0;288282.49375029583;0.0
'iron';'ir';36652.23155103845;35371.5716600383;30643.433789954343;31283.710911667462;32219.17808219178;30643.43378995434;37588.388371194225;33795.24484333176;31579.03196347032;36307.96513075965
'vacuum_cleaner';'vc';4776.072303052648;4888.624181060155;4499.021526418786;4776.072303052648;5053.215046749293;5001.213420686916;4888.624181060155;5165.766924756799;4499.021526418786;4611.573404426294
'washing_machine';'wm';46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.31506849315;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146
'dish_washer';'dw';0.0;0.0;0.0;66575.34246575343;66575.34246575343;0.0;0.0;0.0;66575.34246575343;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0;0.0;46849.315068493146;0.0;0.0;0.0
'pc';'pc';32791.300915775544;0.0;0.0;0.0;32481.539731488232;32381.44107360486;32457.787498561076;0.0;0.0;32043.397872429967
'tv';'tv';28949.819861565637;29509.681958748144;29175.248624329644;29262.44559813559;29316.783251981804;29368.40403061871;29611.527985689405;29229.660347221266;29194.52351630923;29699.863787244376
'laptop';'lap';14575.144032230213;14652.638136355079;0.0;0.0;0.0;0.0;0.0;14741.873723922085;0.0;14878.07548965052
'hifi_stereo';'hs';13486.727033511343;0.0;13680.937067837984;0.0;0.0;13871.799063251121;0.0;13550.347583455718;13208.80629561853;13422.4977446144
'dvd_reader';'vr';0.0;17184.76161172124;17336.05419071447;17033.46906101996;17088.79370591892;17116.573413081223;17649.293839872844;17336.054190714472;0.0;16994.918401967152
