'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665
'fridge';'frg';32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685;32744.368340943685
'freezer';'frz';35263.165905631664;0.0;0.0;0.0;35263.165905631664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35263.165905631664;35263.165905631664;0.0;35263.165905631664
'electric_oven';'elo';17408.571802642746;18003.04739579518;17120.91963716287;17785.714210962906;17625.905242382836;17414.961490101454;17792.103142626915;17963.966549969256;18297.091376664925;17159.27349482647;17120.91963716287;17498.0603364165;17536.41485527422;17459.708217484203;18213.99212541682;17709.004088697882;18341.83825469305
'microwave_oven';'mwo';8927.15051476219;8500.731280255433;8386.044324629323;8386.044324629323;9042.073916178178;0.0;8172.788134720364;0.0;8386.044324629323;9255.236960775974;0.0;7959.6250901225685;8927.15051476219;7959.6250901225685;8172.788134720364;0.0;7959.6250901225685
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;113154.13902326059;0.0;0.0;113622.62906398074;0.0;0.0;0.0;113548.65689810252;0.0;112414.41754017663;0.0;0.0
'iron';'ir';38452.14926783184;33231.302615193024;30670.02739726028;35200.75578649032;34856.28891656289;33920.332546055746;31950.450637694856;35200.75578649032;33575.43693906471;35841.138555777354;35841.138555777354;33920.332546055746;36826.34281621894;34560.478664777205;37466.72558550596;31950.450637694856;37466.72558550596
'vacuum_cleaner';'vc';2570.8991557711033;2570.8991557711033;2780.5598570577727;2570.8991557711033;2780.5598570577727;2630.13698630137;2689.394480841771;2420.5262013481192;2570.8991557711033;2689.394480841771;2479.764031878386;2479.7640318783856;2839.8173515981734;2689.394480841771;2539.021526418787;2689.394480841771;2689.394480841771
'washing_machine';'wm';37808.21917808219;37808.21917808219;37808.21917808219;37517.74220168344;37808.21917808218;37808.21917808219;37808.21917808218;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808218;37808.21917808219;37808.21917808219;37808.219178082196;37808.21917808219;37808.21917808219;37808.21917808219
'dish_washer';'dw';0.0;55408.075656419394;0.0;0.0;0.0;55296.43630585492;0.0;55158.86054051285;0.0;55408.07565641941;54707.79245742407;55452.05479452056;0.0;55452.05479452056;0.0;54707.79245742406;0.0
'tumble_drier';'td';0.0;30246.575342465752;0.0;0.0;0.0;0.0;0.0;30246.575342465752;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;33496.51212216566;33363.910405616814;0.0;0.0;0.0;33363.91040561682;0.0;0.0;0.0;0.0;32941.99591495186;33416.147445469396;33363.91040561682;32861.10993690678;33918.283995392034;0.0
'tv';'tv';16251.515648308934;16466.73771177303;16192.195551569912;16212.868386756518;16339.00981622615;16564.64230506456;16515.71010371743;16428.153406470636;16270.744843634524;16456.349629700155;16377.697009788983;16368.792933187255;16261.944089712537;16300.42550951054;16506.765339418307;16319.820546590545;16379.078989588004
'laptop';'lap';15130.526884836632;0.0;0.0;0.0;0.0;0.0;15083.560786374666;15254.987122549308;0.0;14930.6401003604;0.0;15395.885637917043;0.0;0.0;15161.054876676826;15238.548981564367;0.0
'hifi_stereo';'hs';0.0;0.0;13766.341581471968;13608.964558383183;14094.489433806772;14271.957541072106;13983.990561371313;13565.434729908751;14161.458521954179;13498.466010608692;0.0;0.0;0.0;13675.933363062224;13501.186500211345;0.0;0.0
'dvd_reader';'vr';0.0;0.0;17861.322441582754;17818.704806377766;17705.768093438663;17680.1192619739;17454.048069083794;17720.48891755946;17622.66370482765;17567.26079099721;17300.900666501893;17833.620981054868;17678.066628238776;0.0;17398.921184368817;17622.66370482765;17609.80016986466
