'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;322406.08828006085;0.0;322406.08828006085;0.0;0.0;322406.08828006085;0.0;0.0;322406.08828006085;0.0;0.0;0.0;0.0;322406.08828006085
'lighting';'lux';88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333;88111.75953333333
'fridge';'frg';39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424;39293.242009132424
'freezer';'frz';42315.799086757994;0.0;0.0;0.0;42315.799086757994;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42315.799086757994;42315.799086757994;0.0;42315.799086757994
'electric_oven';'elo';16232.409944190767;16027.858148764564;15733.820395738207;15944.760522909288;16027.858148764566;16027.858148764564;16027.858148764566;15522.880997768618;15650.723057144125;15267.200089369253;15944.760522909291;16027.858148764564;15439.783659174536;15944.760522909291;15733.820395738207;16110.956046068492;15944.760522909291
'microwave_oven';'mwo';9468.493150684932;7959.6250901225685;8713.89432485323;9255.236960775974;8500.731280255433;0.0;9255.236960775972;0.0;8500.731280255435;7959.6250901225685;0.0;8172.788134720364;7959.6250901225685;9468.493150684932;9042.073916178178;0.0;8172.788134720364
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;79200.43771341341;0.0;0.0;80174.98282500691;0.0;0.0;0.0;79274.99421712656;0.0;78385.86052689214;0.0;0.0
'iron';'ir';31310.17351598174;32590.83340698189;36481.6077639885;34506.17174841656;31950.450637694856;37171.72602739726;35200.75578649032;30670.027397260274;34215.819708351744;36826.34281621894;32935.159817351596;36186.065694505814;36186.065694505814;34560.478664777205;37171.72602739726;36826.34281621894;37466.72558550596
'vacuum_cleaner';'vc';2479.7640318783856;2570.8991557711033;2479.7640318783856;2689.394480841771;2539.021526418787;2839.8173515981734;2689.394480841771;2420.5262013481192;2630.13698630137;2689.394480841771;2721.322026527506;2721.322026527506;2630.13698630137;2780.5598570577727;2570.8991557711033;2420.5262013481192;2689.394480841771
'washing_machine';'wm';37808.21917808219;37808.21917808219;37808.21917808219;37808.219178082196;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808218;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219;37808.21917808219
'dish_washer';'dw';0.0;55452.05479452056;0.0;0.0;0.0;55452.05479452056;0.0;55452.05479452056;0.0;55452.05479452057;55452.05479452056;55452.05479452056;0.0;55452.054794520554;0.0;55452.05479452056;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;33126.834634451894;33126.834634451894;0.0;0.0;0.0;32781.26662068645;0.0;0.0;0.0;0.0;33709.47855356567;33444.27508682928;33311.30502649459;33496.51212216566;33335.78278467884;0.0
'tv';'tv';16309.329151745755;16232.223326429805;16319.780354254759;16349.398326588323;16300.38514900452;16389.56910404864;16221.835586568157;16496.37759020469;16279.648486122374;16261.944089712539;16310.916476309249;16535.00225742632;16291.583451894989;16573.58656691587;16349.500780180537;16270.744843634524;16485.989839920752
'laptop';'lap';14914.482752088632;0.0;0.0;0.0;0.0;0.0;15240.897330905833;15362.736368537971;0.0;15193.82055535946;0.0;15208.020989724173;0.0;0.0;15038.832331310445;15271.314688492257;0.0
'hifi_stereo';'hs';0.0;0.0;13853.153732626542;13853.401076989048;13963.899949424507;14050.959574968558;13655.842786113788;13829.961907174917;14117.928693479742;13849.424981052565;0.0;0.0;0.0;13699.372517055255;13806.522938581329;0.0;0.0
'dvd_reader';'vr';0.0;0.0;17245.297999528735;17622.66370482765;17539.55933777653;17735.523045251524;17524.445638224846;17580.046085508016;17763.30188296664;17692.9827908574;17469.04272930666;17620.532877229984;17763.30188296664;0.0;17692.9827908574;17748.385714268526;17735.406170216807
