'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333
'fridge';'frg';59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064
'freezer';'frz';0.0;0.0;0.0;0.0;0.0;0.0;0.0;62285.48325722983;62285.48325722983;0.0;0.0;62285.48325722983;0.0;62285.48325722983;0.0;62285.48325722983;0.0
'electric_oven';'elo';28177.456039400575;28112.162723121626;27393.948712302077;27655.116841257055;26610.44900563778;28634.503050535284;28308.040267003336;27785.701378932645;28177.456039400575;26610.44900563778;26349.27963533927;27915.232968803964;26414.56949546805;27981.578185446033;27916.28621155557;27263.365154523442;26741.028389914634
'microwave_oven';'mwo';9152.318556964181;8939.155512366386;0.0;0.0;8939.155512366384;8832.434272100742;8832.434272100742;9152.318556964181;7873.107426099496;9365.57474687314;0.0;0.0;8086.270470697293;8619.178082191782;8406.015037593985;8299.526660606252;8406.015037593985
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;224302.83120013392;0.0;0.0;0.0;0.0;0.0;0.0;226386.4096393219;0.0;225266.47240175388;224945.92645998558;0.0
'iron';'ir';34818.1388757676;34177.86175405448;32577.168949771687;36419.095798985174;37379.99169779991;34177.86175405448;35778.81867727205;38020.26881951303;32257.463543968184;35778.81867727206;30336.65753424658;35138.6725585506;34177.86175405448;37699.94777648335;33217.4460714848;34177.86175405448;35778.81867727206
'vacuum_cleaner';'vc';4549.010654490106;5111.8634485757775;4661.562532497614;4830.3903495088725;4661.562532497614;5111.8634485757775;5224.415326583283;5111.8634485757775;4942.942227516378;4661.562532497614;4942.942227516378;4942.942227516378;4830.3903495088725;5337.004566210046;4549.010654490106;5055.531467143141;4661.562532497614
'washing_machine';'wm';47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369864;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863
'dish_washer';'dw';67315.0684931507;0.0;67315.0684931507;0.0;0.0;0.0;67315.0684931507;0.0;67315.0684931507;67315.0684931507;0.0;67315.0684931507;0.0;0.0;67315.0684931507;0.0;67315.0684931507
'tumble_drier';'td';0.0;0.0;0.0;47369.86301369863;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47369.86301369863;0.0;0.0;0.0
'pc';'pc';0.0;32635.599974274875;0.0;32661.718515024466;0.0;33445.274077431684;0.0;32661.34960358541;33236.32588933389;33079.614769850814;0.0;0.0;0.0;0.0;0.0;32713.95552506126;32870.66661721481
'tv';'tv';29288.750209959362;29907.028969314124;29606.739478554373;29748.091294322432;29571.493890508704;29659.79259080868;29218.299122268963;29377.236768239134;29624.289156079532;29465.350735099633;29500.67020991241;29730.431549746907;29606.81336932695;29624.287613380067;29677.45234065755;29889.29471900341;29818.730253260663
'laptop';'lap';0.0;0.0;0.0;0.0;14508.413707347709;14432.48887670389;0.0;15012.2476750909;0.0;0.0;0.0;0.0;15333.06416726748;15149.896197368387;14997.25629441558;0.0;14813.809880462246
'hifi_stereo';'hs';13984.818724813973;13636.57955610591;0.0;0.0;13288.341771668798;0.0;13919.52369783405;13593.050144134158;13788.692108288478;0.0;0.0;0.0;13636.57955610591;13832.463814604647;0.0;13505.990339305488;13353.63615311361
'dvd_reader';'vr';17528.369221049878;17279.056108894776;17348.114131451268;0.0;17376.011201359226;17029.54631540263;0.0;17361.965940181453;17279.056108894776;17500.667760521996;17348.30974813854;17292.90684289419;17320.608303422076;0.0;17403.51920810128;17195.951758007453;17265.009749907204
