'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761;114703.761
'fridge';'frg';47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959
'freezer';'frz';0.0;0.0;0.0;0.0;0.0;0.0;0.0;49280.82191780823;49280.82191780823;0.0;0.0;49280.82191780823;0.0;49280.82191780823;0.0;49280.82191780823;0.0
'electric_oven';'elo';30384.81197241771;30123.640456983245;29551.071617129324;28704.736231258765;30314.498359546757;29229.630679438313;30193.955347429535;28586.750812273523;29802.197720161064;29159.313989860857;29159.313989860857;29279.8578555128;28777.60428843439;29420.485505295313;28586.750812273523;30706.255255918193;29169.36328047412
'microwave_oven';'mwo';8213.008996583181;9049.400153152388;0.0;0.0;9049.400153152386;9262.656343061346;8737.718029439293;9262.656343061348;9262.656343061348;8311.298794932538;0.0;0.0;9049.400153152388;8737.718029439293;9049.400153152388;7999.752806674221;8311.298794932538
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;284461.1829913469;0.0;0.0;0.0;0.0;0.0;0.0;283525.7475761037;0.0;286681.28333612415;286188.750939889;0.0
'iron';'ir';30643.43378995434;31579.03196347032;36652.23155103845;32859.455203904894;34140.30718140307;32219.17808219178;33155.0987246103;34435.52196504488;30003.287671232883;33155.098724610296;36652.23155103845;30003.28767123288;33795.24484333176;37292.70075924959;34731.425541316836;36307.96513075965;36948.11124948111
'vacuum_cleaner';'vc';5278.356164383561;5053.215046749293;4499.021526418786;4611.573404426294;4724.1626440530545;5165.766924756799;4611.573404426294;4611.573404426294;4776.072303052648;4888.624181060155;5165.766924756799;4776.072303052648;4611.573404426294;5001.213420686916;4888.624181060155;5001.213420686916;4724.1626440530545
'washing_machine';'wm';46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.31506849315;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.31506849316;46849.315068493146;46849.315068493146;46849.315068493146
'dish_washer';'dw';66575.34246575343;0.0;66575.34246575343;0.0;0.0;0.0;66575.34246575343;0.0;66575.34246575343;66575.34246575343;0.0;66575.34246575343;0.0;0.0;66575.34246575343;0.0;66575.34246575343
'tumble_drier';'td';0.0;0.0;0.0;46849.315068493146;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46849.315068493146;0.0;0.0;0.0
'pc';'pc';0.0;31866.59274559412;0.0;32357.331708955746;0.0;32662.717422128488;0.0;32381.44107360486;32200.620589472674;32714.599244430017;0.0;0.0;0.0;0.0;0.0;32304.731428783176;32586.370970158332
'tv';'tv';28914.60975242674;29142.719324235033;29333.010350559744;29455.270401767382;29281.20799611062;29229.769413537542;29020.643014980284;29525.802878518785;29490.663772659937;29036.760887796834;29333.08455180047;29107.5832640016;29213.541708202152;29716.165096899895;29577.42440751943;29506.965078768;29525.98325406544
'laptop';'lap';0.0;0.0;0.0;0.0;14622.110150018736;14817.019522600911;0.0;14727.783906436267;0.0;0.0;0.0;0.0;14680.817779859084;14817.019522600911;14922.693315834404;0.0;14892.16533512113
'hifi_stereo';'hs';13252.336154456738;13723.871639175617;0.0;0.0;13490.076010344488;0.0;13359.486261389582;13593.877380525335;13165.276467144093;0.0;0.0;0.0;13938.767871846696;13701.027802280933;0.0;13443.197236441727;13248.987471214823
'dvd_reader';'vr';17171.976326911663;17361.62478999362;17417.027698911807;0.0;17280.651272053656;17199.677787439545;0.0;17348.839482583826;17171.976326911663;16980.197034195797;17061.17050915902;17240.164525551678;17417.02769891181;0.0;16995.113228519513;17075.894051148443;17240.164525551678
