'App_name';'App_nickname';0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
'lighting';'lux';112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665
'fridge';'frg';60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141
'freezer';'frz';0.0;0.0;0.0;0.0;0.0;0.0;0.0;62969.93911719939;62969.93911719939;0.0;0.0;62969.93911719939;0.0;62969.93911719939;0.0;62969.93911719939;0.0
'electric_oven';'elo';27366.368055873714;27758.12072250428;26572.820947993696;27627.536184828692;27898.751363801668;26171.028537649123;26964.57263472731;28149.876049476952;28481.35908877627;27095.157172402898;28953.472913548987;29084.05745122457;28290.503050535284;28159.918822932515;27567.267537394397;27426.63851137943;26633.092215042263
'microwave_oven';'mwo';9255.236960775974;9255.236960775972;0.0;0.0;8172.788134720364;8713.89432485323;9042.073916178177;8172.788134720364;9042.073916178178;8713.89432485323;0.0;0.0;8500.731280255433;8172.788134720364;7959.6250901225685;9042.073916178178;8713.89432485323
'electric_boiler';'bo';0.0;0.0;0.0;0.0;0.0;230523.87665594192;0.0;0.0;0.0;0.0;0.0;0.0;224335.6875722226;0.0;228231.5532622764;226922.6676844813;0.0
'iron';'ir';32935.159817351596;37466.72558550596;35200.75578649032;36826.34281621894;34215.819708351744;37466.72558550596;33231.302615193024;35125.05523641184;35545.919575784355;35200.75578649032;34856.28891656289;30670.02739726028;31310.17351598174;34560.478664777205;34157.62414859737;33920.332546055746;32295.013698630137
'vacuum_cleaner';'vc';4824.1409001956945;4711.551660568933;5395.652968036529;4884.708395965096;4884.708395965096;5170.511850402261;4884.708395965096;5170.511850402261;4598.999782561426;4997.260273972603;4997.260273972603;5283.063728409767;4598.999782561426;4598.999782561426;5395.652968036529;5283.063728409767;4884.708395965096
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.41095890412;47890.4109589041;47890.4109589041;47890.4109589041;47890.41095890412;47890.4109589041;47890.41095890412;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041
'dish_washer';'dw';67694.96520881122;0.0;68054.79452054796;0.0;0.0;0.0;68054.79452054796;0.0;67917.78259030974;68054.79452054795;0.0;68054.79452054796;0.0;0.0;68054.79452054796;0.0;68054.79452054796
'tumble_drier';'td';0.0;0.0;0.0;47890.4109589041;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;47890.4109589041;0.0;0.0;0.0
'pc';'pc';0.0;33046.469971769024;0.0;32969.974319509645;0.0;33572.858591385906;0.0;33472.40275783564;33150.42726098326;33098.56190197765;0.0;0.0;0.0;0.0;0.0;33311.673370280434;33046.469971769024
'tv';'tv';30182.11621526689;29986.500629816885;30073.25332603731;30076.15777492316;29913.144789778962;30521.653961913868;29806.923791198802;29736.35903877465;29627.87208243976;29787.979021423213;29986.50062981689;30181.930202984404;29913.071512213137;29967.482446912065;29951.106637988;30021.820108635126;30146.79673386139
'laptop';'lap';0.0;0.0;0.0;0.0;14930.920883421859;15224.459141836036;0.0;15038.9429428195;0.0;0.0;0.0;0.0;14930.6401003604;15269.076978792538;14945.010732801904;0.0;14961.44885251734
'hifi_stereo';'hs';13675.933363062226;13565.434729908751;0.0;0.0;13983.990561371309;0.0;13786.43207870048;13632.403565992608;13983.990561371309;0.0;0.0;0.0;13410.76390821327;13960.551570841799;0.0;13809.871312413437;13786.432078700482
'dvd_reader';'vr';17411.706484254537;17665.28133272447;17692.78745703158;0.0;17607.74754839126;17889.023904465997;0.0;17637.579877026965;17384.005026121602;17622.66370482765;17720.607726839233;17678.066628238776;17426.42399296847;0.0;17695.034566876275;17496.941711149695;17692.9827908574
