'Time (min)';'Total load (W)';'Average load (W)';'Maximum load (W)';'Medium load (W)';'Minimum load (W)'
0;5914.208248198491;347.8946028352053;573.5819352283847;260.94892576823855;105.87535629700399
60;6056.2918898092985;356.25246410642933;642.9012579029817;239.28524279907296;82.56055316956765
120;5024.820192733628;295.5776583960957;525.3121094117346;154.07619813560487;73.75977030948462
180;3461.2821488500445;203.60483228529674;428.3313385967328;92.02129092417054;58.234950337723156
240;3102.02308634145;182.4719462553794;406.1832422520895;127.16846987711396;48.426174222593296
300;2845.520799248261;167.3835764263683;366.6009973050507;123.2535931954408;41.57729097119339
360;2855.771561590469;167.98656244649817;285.91020284217893;102.07198973309994;47.62112158360167
420;3522.649043118043;207.21464959517903;476.3751218862311;127.35268341650904;67.61612636339638
480;3118.812705090135;183.459570887655;246.30681493373268;130.18389217277678;71.22921336223384
540;4186.694797795681;246.2761645762165;501.65432245638516;139.50216932320237;86.03871865160224
600;3234.4580131811617;190.2622360694801;307.9259930156768;152.99939468829973;89.91353376803096
660;4879.386003118869;287.0227060658158;523.4860827825194;316.77525723033773;102.47962753706493
720;6281.2241871009055;369.483775711818;673.009908548264;203.59496628126146;137.3958932147918
780;5886.299575992145;346.25291623483207;774.2827696455361;223.22337424281213;99.40989875952839
840;5117.793992077194;301.04670541630554;562.91301392847;201.38284207547827;90.81172564790755
900;5541.831519438422;325.9900893787307;513.5714251052121;323.7948076187132;125.79762754397213
960;5478.941985048119;322.2907050028305;460.611536199313;326.77996654861005;127.04728202999247
1020;4747.114154928219;279.2420091134247;516.3220535957321;198.9936561456856;129.72613738180794
1080;5520.585198305644;324.7403057826849;612.2503562209837;309.2149963837898;110.79966214609168
1140;5888.717885784025;346.3951697520015;537.8440372436584;338.67676766786946;143.9891825933347
1200;5443.481885412505;320.2048167889709;528.1376380997698;334.3726875222265;155.37214222642677
1260;5193.6695171946;305.5099715996824;505.438913905666;272.70148699603334;123.56381607442775
1320;6393.845748104436;376.108573417908;577.6944502660934;239.68988457276606;128.96252113758433
1380;7054.874365015922;414.99260970681894;790.4450264971813;254.87025878705757;118.05984706652332
