'App_name';'App_nickname';0;1;2;3;4
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0
'lighting';'lux';114703.761;114703.761;114703.761;114703.761;114703.761
'fridge';'frg';47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959;47309.5890410959
'freezer';'frz';0.0;0.0;0.0;0.0;49280.82191780823
'electric_oven';'elo';30846.889051552862;29410.442393188394;29159.313989860857;30836.841367752208;29420.485505295313
'microwave_oven';'mwo';0.0;0.0;8737.718029439295;8311.298794932538;8213.00899658318
'electric_boiler';'bo';0.0;285742.7582768142;0.0;0.0;285891.32058906474
'iron';'ir';31283.710911667455;35371.5716600383;36011.84878175142;34140.30718140307;30003.28767123288
'vacuum_cleaner';'vc';4724.1626440530545;5165.766924756799;4611.573404426294;4888.624181060155;4611.573404426294
'washing_machine';'wm';46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146;46849.315068493146
'dish_washer';'dw';66575.34246575343;0.0;66575.34246575343;0.0;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;0.0;32224.72998145131;32976.13967397783;0.0
'tv';'tv';29438.861865026243;29159.204037490992;29142.902744121595;29055.77829800384;29490.590189768263
'laptop';'lap';0.0;0.0;14922.693315834404;0.0;14485.908439031016
'hifi_stereo';'hs';13915.328860320737;0.0;13680.937067837982;13486.727033511343;0.0
'dvd_reader';'vr';17184.683797415462;16760.520382218387;0.0;17321.13802688632;16992.78969152874
