'App_name';'App_nickname';0;1;2;3;4
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0
'lighting';'lux';112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665;112811.77616666665
'fridge';'frg';60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141;60451.14155251141
'freezer';'frz';0.0;0.0;0.0;0.0;62969.93911719939
'electric_oven';'elo';27687.80845741513;27758.12072250428;29214.642283847497;28491.40339805224;28421.08758821088
'microwave_oven';'mwo';0.0;0.0;9468.493150684933;8927.15051476219;7959.6250901225685
'electric_boiler';'bo';0.0;227096.50839427332;0.0;0.0;225148.57149096817
'iron';'ir';32935.159817351596;32590.833406981885;37171.72602739726;32935.159817351596;36186.065694505814
'vacuum_cleaner';'vc';5395.652968036529;4997.260273972603;4711.551660568933;4884.708395965096;5109.849513599364
'washing_machine';'wm';47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041;47890.4109589041
'dish_washer';'dw';67141.38165229314;0.0;68054.79452054796;0.0;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;0.0;33231.30870053215;33472.03846184516;0.0
'tv';'tv';29627.607927943332;29788.16817318122;29861.524010473862;29826.01696542475;30057.13958875512
'laptop';'lap';0.0;0.0;15038.9429428195;0.0;15269.076978792542
'hifi_stereo';'hs';13675.933363062224;0.0;14007.429746494123;14050.717727490599;0.0
'dvd_reader';'vr';18029.66211818846;17243.164841833073;0.0;17496.9417111497;17580.046085508016
