'App_name';'App_nickname';0;1;2;3;4
'air_conditioner';'ac';0.0;0.0;0.0;0.0;0.0
'lighting';'lux';111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333;111585.56120833333
'fridge';'frg';59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064;59794.06392694064
'freezer';'frz';0.0;0.0;0.0;0.0;62285.48325722983
'electric_oven';'elo';26413.443604836502;27655.11684125706;26218.6954077365;28177.456039400575;26610.444832136
'microwave_oven';'mwo';0.0;0.0;8619.178082191782;8619.178082191782;8939.155512366386
'electric_boiler';'bo';0.0;224625.3807885159;0.0;0.0;221580.194499634
'iron';'ir';35778.81867727206;31617.080774681155;31617.080774681162;31937.022831050228;35138.6725585506
'vacuum_cleaner';'vc';4661.562532497614;4549.010654490106;4830.3903495088725;4549.010654490106;4830.3903495088725
'washing_machine';'wm';47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863;47369.86301369863
'dish_washer';'dw';67315.0684931507;0.0;67315.0684931507;0.0;0.0
'tumble_drier';'td';0.0;0.0;0.0;0.0;0.0
'pc';'pc';0.0;0.0;32870.66661721481;32661.71851502447;0.0
'tv';'tv';29306.410734124835;29535.915162146295;29854.049734666165;29659.792600410787;29695.112085578072
'laptop';'lap';0.0;0.0;14936.200301567824;0.0;15012.52025335101
'hifi_stereo';'hs';13701.874330222385;0.0;13592.802414673788;13658.344638950972;0.0
'dvd_reader';'vr';17279.05610889478;17542.21995370877;0.0;17486.817038600788;17292.90684289419
